"business_product_id";"information_group";"discriminator";"changed_time";"deleted";"name";"street";"house_number";"box_number";"postal_code";"city_name";"main_city_name";"distance";"promotional_region";"x";"y";"lat";"long";"green_key_labeled";"accessibility_label";"closing_period";"next_year_closing_period";"phone1";"phone2";"phone3";"email";"website";"facebook";"twitter";"flickr";"instagram";"product_description";"link_to_accessibility_website";"accessibility_description";"entrance";"route_and_levels";"common_toilet";"allergies";"extra_facilities";"food_allergy";"deaf";"auditive";"mental";"motor";"blind";"visual";"autism";"food_allergy_desc";"allergies_desc";"deaf_desc";"auditive_desc";"mental_desc";"motor_desc";"blind_desc";"visual_desc";"autism_desc";"garden";"space_table_desc"
"276548";"ACTIVITY";"FOOD_DRINKS";"2025-03-06 19:43:54";"0";"’t Vijfde Seizoen";"Stationsstraat";"9";"";"9880";"Aalter";"Aalter";"";"meetjesland";"85506.75999999999";"197559.62";"51.08455179071058";"3.448365498017965";"";"";"";"";"+32 9 351 74 60";"";"";"restaurant@tvijfdeseizoen.com";"http://www.tvijfdeseizoen.com";"";"";"";"";"Speelse bistronomie in een sfeervol interieur waarin ruwe materialen zoals leder, hout en zwart staal primeren. Chef Broes Tavernier verkiest een schouder van konijn boven een filet pur. Zijn voorliefde voor ondergewaardeerde producten vertaalt hij naar fantasierijke, streekgebonden gerechten. Hier bepaalt de boer wat op het menu komt en niet andersom. 

Sluitingsdagen: woensdag en zondag.";"";"Speelse bistronomie in een sfeervol interieur waarin ruwe materialen zoals leder, hout en zwart staal primeren. Chef Broes Tavernier verkiest een schouder van konijn boven een filet pur. Zijn voorliefde voor ondergewaardeerde producten vertaalt hij naar fantasierijke, streekgebonden gerechten. Hier bepaalt de boer wat op het menu komt en niet andersom. ";"";"Je hebt hulp nodig voor het openen van een dubbele deur en zwaardere deuren, de beperkte circulatieruimte in de gang en op de helling. De eetzaal zelf is goed toegankelijk. ";"";"0";"Er is een aangepast toilet met beugels, maar de ruimte is te klein.";"0";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";""
"276578";"ACTIVITY";"FOOD_DRINKS";"2020-06-02 18:00:36";"1";"Aen de Kerck van Melveren";"SINT-GODFRIEDSTRAAT";"15";"";"3800";"Sint-Truiden";"Sint-Truiden";"";"haspengouw";"208543.3677138297";"169219.8089118777";"50.830998";"5.19847";"";"";"";"";"+32 11 68 39 65";"";"";"info@aendekerck.be";"http://www.aendekerck.be/";"";"";"";"";"Een heerlijk restaurantje op een leuke groene locatie aan de rand van Sint-Truiden.";"";"";"";"De ingang is drempelloos en de deuren en doorgangen zijn voldoende breed. ";"";"0";"Er is geen aangepast toilet.";"0";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";""
"276547";"ACTIVITY";"FOOD_DRINKS";"2025-03-06 17:38:02";"0";"Amu";"Patersstraat";"79";"";"2300";"Turnhout";"Turnhout";"";"antwerpseKempen";"190465.58";"224225.19";"51.32638133120483";"4.949268453025537";"";"";"";"";"+32 14 41 24 89";"";"";"info@amu-turnhout.be";"http://www.amu-turnhout.be";"";"";"";"";"Verfijnde amuses in een intiem, jazzy interieur met een 100% vrouwelijke equipe. Mediterraans geïnspireerde gerechten, met sterke producten en verrassende smaken. Chef Marjanne Moonen's keuken werd in 2015 bekroond met een 'Bib Gourmand' voor een uitmuntende prijs-kwaliteitsverhouding. 

Sluitingsdagen: dinsdag, woensdag & zaterdagmiddag.";"";"Verfijnde amuses in een intiem, jazzy interieur met een 100% vrouwelijke equipe. Mediterraans geïnspireerde gerechten, met sterke producten en verrassende smaken. Chef Marjanne Moonen's keuken werd in 2015 bekroond met een 'Bib Gourmand' voor een uitmuntende prijs-kwaliteitsverhouding.";"";"Er is een drempel van 6 cm aan de ingang. De deuren zijn breed genoeg. ";"";"0";"Er is geen aangepast toilet.";"0";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";""
"276880";"ACTIVITY";"FOOD_DRINKS";"2025-03-06 16:26:02";"0";"Belfort Foodbar";"Emile Braunplein";"40";"";"9000";"Gent";"Gent";"";"kunststadGent";"104803.45";"193957.76";"51.05400260113227";"3.724183782476315";"";"";"";"";"+32 9 225 60 05";"";"";"info@belfort-restaurant.be";"http://www.belfortfoodbar.com";"";"";"";"";"Dit café en restaurant is prachtig gelegen onder de Gentse stadshal.";"";"";"";"Dit prachtig gelegen café en restaurant onder de Gentse stadshal is goed toegankelijk. Je bereikt het via hellingen of een lift naast de stadshal. ";"";"0";"Er is een toegankelijk toilet met voldoende opstelruimte en beugels.";"0";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";""
"276560";"ACTIVITY";"FOOD_DRINKS";"2025-03-06 20:52:02";"0";"Bistro ’t Verschil";"Bruggesteenweg";"164";"";"8830";"Hooglede";"Hooglede";"";"westhoek";"62305.52762988606";"186068.1959220348";"50.978766";"3.118766";"";"";"";"";"+32 51 43 67 20";"";"";"bistro-tverschil@telenet.be";"http://www.bistrotverschil.be";"";"";"";"";"Tom Cloet heeft een passie voor nostalgische gerechten zoals stoofpotten en terrines. Hij tilt ze, met behulp van hedendaagse technieken, naar een hoger niveau, maar de ‘gezelligheidsfactor’ blijft onveranderd. 't Verschil maakt wel degelijk een verschil in het culinaire landschap";"http://toevla.vlaanderen.be/publiek/nl/register/detail/4937";"Om de kiezel van de parking te vermijden kan je voorrijden tot de oprit. Je kan nog hulp nodig hebben op de kasseien daar, en om enkele kleine drempels van 5 cm en de deurdrempel van 8 cm te overbruggen. De opstel- en circulatieruimte is nipt, maar bruikbaar. Er is voldoende circulatieruimte in  het restaurant, maar op sommige plekken versmalt de doorgang. Sommige tafels hebben een beperkte vrije breedte van 61 cm tussen de poten. Andere tafels zijn bistrotafels met een centrale poot die de voetruimte hinderen. Er is geen aangepast toilet. Het terras kan je met hulp bereiken.";"";"";"";"0";"";"0";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";""
"276728";"ACTIVITY";"FOOD_DRINKS";"2017-01-18 14:55:46";"1";"bistro 1800";"Abdijmolenweg";"1";"";"8510";"Marke";"Kortrijk";"";"leieStreek";"70696.61";"166721.55";"50.80554336518473";"3.243694558100296";"";"";"";"";"+32 56 21 21 00";"";"";"info@d-hotel.be";"http://www.d-hotel.be/nl/bistro/d-bistro";"";"";"";"";"Deze bistro maakt deel uit van het d-hotel. In de bistro is er veel plaats en is er een onderrijdbare tafel aanwezig. Er is een toegankelijk toilet met voldoende opstelruimte naast, voor (100 cm) en schuin voor het toilet. 2 beugels zijn voorzien.";"";"Deze bistro maakt deel uit van het d-hotel. In de bistro is er veel plaats en is er een onderrijdbare tafel aanwezig. Er is een toegankelijk toilet met voldoende opstelruimte naast, voor (100 cm) en schuin voor het toilet. 2 beugels zijn voorzien.";"";"";"";"0";"";"";"0";"";"0";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"";""
"276763";"ACTIVITY";"FOOD_DRINKS";"2025-02-22 18:22:35";"0";"Bistro De Markt";"de Smet de Naeyerlaan";"10";"";"8370";"Blankenberge";"Blankenberge";"";"kust";"63331.21";"223278.48";"51.31279402962121";"3.125804465255898";"";"";"";"";"32 473 28 02 31";"";"";"bistro.de.markt.blankenberge@gmail.com";"";"";"";"";"";"Gedetailleerde meetgegevens voor deze zaak zijn te vinden op www.toevla.be. De volledige brochure “Toegankelijke restaurants en cafés in Blankenberge” is beschikbaar onder  “publicaties” op de website www.toegankelijkreizen.be.";"";"Gedetailleerde meetgegevens voor deze zaak zijn te vinden op www.toevla.be. De volledige brochure “Toegankelijke restaurants en cafés in Blankenberge” is beschikbaar onder  “publicaties” op de website www.toegankelijkreizen.be.";"";"";"";"0";"";"";"0";"";"0";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"";""
"276764";"ACTIVITY";"FOOD_DRINKS";"2025-02-22 18:22:36";"0";"Bistro De Tijd";"Grote Markt";"9";"";"8370";"Blankenberge";"Blankenberge";"";"kust";"63271.577";"223334.624";"51.3133131789792";"3.12487341463565";"";"";"";"";"";"";"";"0032 473 75 43 56";"";"";"";"";"";"Gedetailleerde meetgegevens voor deze zaak zijn te vinden op www.toevla.be. De volledige brochure “Toegankelijke restaurants en cafés in Blankenberge” is beschikbaar onder  “publicaties” op de website www.toegankelijkreizen.be.";"";"Gedetailleerde meetgegevens voor deze zaak zijn te vinden op www.toevla.be. De volledige brochure “Toegankelijke restaurants en cafés in Blankenberge” is beschikbaar onder  “publicaties” op de website www.toegankelijkreizen.be.";"";"";"";"0";"";"";"0";"";"0";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"";""
"276575";"ACTIVITY";"FOOD_DRINKS";"2018-02-13 08:35:01";"1";"Bistro Margaux";"Dorpsplein";"3";"";"1700";"Sint-Martens-Bodegem";"Dilbeek";"";"groeneGordel";"139004.06";"172306.51";"50.86103459585591";"4.212587972799723";"";"";"";"";"";"+32 (0)2 460 05 45";"";"info@bistromargaux.be";"http://www.bistromargaux.be";"";"";"";"";"Topproducten bereid op sterrenniveau in een gezellige, oude hoeve met een open wijnkamer als blikvanger.
Chef Thomas Locus legde een indrukwekkend parcours af. In zijn eigen zaak grijpt hij terug naar klassieke technieken zoals stoven en lange garing op lage temperaturen.

Sluitingsdagen: maandag & dinsdag.";"";"Je kan hulp goed gebruiken voor de vrij steile helling naar de ingang en de drempel van 8 cm. Verder is het restaurant goed toegankelijk. De tafels zijn onderrijdbaar. Ook voor het terras moet je over een drempel van 8 cm. Het aangepast toilet heeft voldoende opstelruimte, maar de wastafel is wat moeilijker bruikbaar.";"";"";"";"0";"";"";"0";"";"0";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"";""
"276789";"ACTIVITY";"FOOD_DRINKS";"2025-03-06 22:56:21";"0";"Bistro Moby Dick";"Visserskaai";"6";"";"8400";"Oostende";"Oostende";"";"kust";"49028.84";"214380.7";"51.23050936910431";"2.923214988492925";"";"";"";"";"+32 59 80 01 37";"";"";"";"";"";"";"";"";"Gedetailleerde meetgegevens voor deze zaak zijn te vinden op www.toevla.be. De volledige brochure “Toegankelijke restaurants en cafés in Oostende” is beschikbaar onder  “publicaties” op de website www.toegankelijkreizen.be.";"";"Gedetailleerde meetgegevens voor deze zaak zijn te vinden op www.toevla.be. De volledige brochure “Toegankelijke restaurants en cafés in Oostende” is beschikbaar onder  “publicaties” op de website www.toegankelijkreizen.be.";"";"";"";"0";"";"";"0";"";"0";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"";""
